rank,model,n,MAE,RMSE,MASE,Bias,sMAPE,forecast_type
1,sarimax_exog_conditional,336,37.147207714810726,64.58014973155734,0.6961759017841849,-4.059136653328814,30.439024090821754,conditional
2,sarima,336,41.150794322794916,63.632663372809596,0.7712071272421676,6.09122148931455,35.29859660015106,operational
3,seasonal_naive_weekly,336,42.92162698412697,79.66836643932842,0.8043943060572312,-12.624007936507937,32.67219383304977,operational
4,ml_conditional,336,45.33591176397666,69.25819863004747,0.8496404224458275,9.35794692379476,36.84543547551611,conditional
5,ml_operational,336,46.949069972279325,67.62278680501149,0.8798726239886074,15.847839679850443,38.97691597427238,operational
6,seasonal_naive_daily,336,48.392857142857146,85.79026890093793,0.9069306425395065,1.6666666666666667,35.57066740208683,operational
7,mean,336,50.01008862275129,73.98593459537865,0.9372391812741739,-3.061350712613546,46.24321415006635,operational
8,naive,336,143.38293650793653,170.62254707812966,2.6871399296071115,114.67261904761905,87.0701631292088,operational
9,drift,336,143.94198251974774,171.2599055522941,2.697617012148536,115.31429034659297,87.22502329172109,operational
