feature_set,n_features,MAE,RMSE,MASE,RMSE_change_vs_previous
time_only,8,35.17733950137337,65.29629542767317,0.6592585972477532,
time+lags,16,40.46240538713373,68.08674348913871,0.7583060286793513,2.79044806146554
time+lags+rolling,26,37.163927715797215,61.53526636897465,0.6964892513595814,-6.5514771201640585
time+lags+rolling+weather,38,43.995248053803635,68.47573640712184,0.8245150408940154,6.94047003814719
all_features,76,46.947294946307736,67.62111571236585,0.8798393582229556,-0.8546206947559938
